file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
Verguenza_Wobj.mat,225.8067471,1.208309154,3.138699051,0.596121629,0.774726004,364,1.148808585,0.319914786,0.278475275,8.407335759,12.96264084,2.99542801,3.951515661,224.788807,275.5918186,2.475060541
Wanda Why Aren_t You Dead_Wobj.mat,201.2550242,2.541047719,4.109425552,1.811394359,1.53010881,95,0.760121619,0.367178749,0.483052632,5.902933158,14.36416853,2.863799255,7.390315642,180.1545836,179.2058169,3.910682116
We Named You Mercy by Amanda Johnston_Wobj.mat,149.1554824,0.603983473,2.84981703,0.821522773,0.837423997,144,1.180037696,0.383881013,0.3253125,8.658893213,13.59840535,2.926108741,3.378037404,162.9540884,122.9439039,2.607377395
We Real Cool_Wobj.mat,115.5303314,2.583318495,4.257925133,1.719341332,1.704975903,43,0.604654433,0.314139071,0.519534884,4.7525727,9.892270788,3.491686065,9.623116368,483.9617006,722.4247103,3.805269751
We are Not Responsible_Wobj.mat,205.8059067,1.270933995,4.001811629,1.69786262,1.406793866,105,1.007967745,0.322789671,0.320238095,7.50560423,13.709621,2.754350176,5.241888206,185.6523712,163.1135318,3.731493459
What Women Are Made of_Wobj.mat,202.8529027,1.12504215,3.773158167,0.987983876,1.394005544,94,0.659001683,0.267666854,0.406170213,5.291508426,11.69914491,3.268284616,5.346405701,281.8306052,339.7811773,3.021586294
What Women Deserve_Wobj.mat,250.7585905,2.666670873,3.938250235,0.742085271,0.83028629,79,0.37725037,0.086767585,0.23,3.079393744,11.94798271,3.079393744,5.638932056,-280.6311162,361.7277906,2.824168657
What the sister brother_Wobj.mat,150.6633199,1.166670893,2.913951584,0.963900763,1.116123582,69,0.956208426,0.217849224,0.227826087,7.371408827,17.09972395,2.010384226,2.975886806,168.0395661,142.814129,2.73829865
When a Black Man Walks_Wobj.mat,267.9571822,1.208297234,3.870205537,1.829706793,1.888222127,283,1.397254863,0.307050459,0.21975265,9.899430178,15.3886425,2.11590874,5.385059081,225.5239273,223.7724158,3.770776456
When a Poem Flirts by t_ai freedom ford_Wobj.mat,209.8541177,0.583289679,2.93914117,1.085272585,1.068924787,53,0.89008313,0.426484172,0.479150943,7.162156213,13.66535111,3.978975674,2.407548082,177.8294024,190.503994,3.052394758
Where Will You Be_Wobj.mat,275.4723935,1.166703167,3.641113781,1.937633828,1.670683363,133,0.789926947,0.258537744,0.327293233,6.25245626,15.23487067,2.322340897,4.370548486,153.8141886,157.9726171,3.829145034
Wisdom_Wobj.mat,201.1817722,0.91665959,3.375674528,0.999173474,0.993701253,97,0.462455304,0.12250298,0.264896907,3.806982976,11.23707546,3.36771571,3.45373753,217.2892831,270.3587032,2.911431937
Year After Year_Wobj.mat,152.6553381,2.166661892,4.19833852,2.024631171,1.753055877,141,1.154980341,0.390850262,0.338404255,8.775086845,12.71138524,2.745945543,8.711760166,156.8310207,120.4950976,4.050478468
You Be Lucy I_ll Be Betsey_Wobj.mat,171.9383363,2.08332685,3.447628899,0.933745282,1.026105481,28,0.504959423,0.221009919,0.437678571,4.724974947,13.33499761,2.180757668,3.835650609,222.329707,234.6448184,2.756338627
You Confide in Me_Wobj.mat,163.9201625,2.374993079,4.317810346,1.597742453,1.717258455,124,0.593699129,0.330532414,0.556733871,4.740350285,13.17191239,2.462042396,6.093450174,227.6699733,284.8731746,3.66594227
You Gone Get This Work_Wobj.mat,233.0925402,1.229007395,4.041345628,1.673267316,1.745230255,212,0.92459331,0.30206289,0.326698113,6.955871168,14.50564241,1.722084609,7.12874485,189.1594198,169.8128075,3.580282941
